"groupName","category","policyDisplayName","allowedEffects","defaultEffect","policyId"
"CCCS_CM-7(5)","Security Center","Adaptive application controls for defining safe applications should be enabled on your machines","overr:AuditIfNotExists|Disabled","AuditIfNotExists","47a6b606-51aa-4496-8bb7-64b11cf66adc"
"CCCS_CP-7","Compute","Audit virtual machines without disaster recovery configured","overr:Disabled|AuditIfNotExists","auditIfNotExists","0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56"
"CCCS_IA-2(1)","Security Center,Security Center","Accounts with owner permissions on Azure resources should be MFA enabled,Accounts with write permissions on Azure resources should be MFA enabled","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists","e3e008c3-56b9-4133-8fd7-d3347377402a,931e118d-50a1-4457-a5e4-78550e086c52"
"CCCS_IA-5","Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration","Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,Audit Linux machines that do not have the passwd file permissions set to 0644,Audit Linux machines that have accounts without passwords,Deploy the Linux Guest Configuration extension to enable Guest Configuration assignments on Linux VMs","overr:Disabled|Audit|Modify,overr:Disabled|Audit|Modify,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:Disabled|AuditIfNotExists|DeployIfNotExists","modify,modify,AuditIfNotExists,AuditIfNotExists,deployIfNotExists","3cf2ab00-13f1-4d0c-8971-2ac904541a7e,497dff13-db2a-4c0f-8603-28fa3b331ab6,e6955644-301c-44b5-a4c4-528577de6861,f6ec09a3-78bf-4f8f-99dc-6c77182d0f99,331e8ea8-378a-410f-a2e5-ae22f38bb0da"
"CCCS_IA-5(1)","Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration","Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,Audit Windows machines that allow re-use of the passwords after the specified number of unique passwords,Audit Windows machines that do not have the maximum password age set to specified number of days,Audit Windows machines that do not have the minimum password age set to specified number of days,Audit Windows machines that do not have the password complexity setting enabled,Audit Windows machines that do not restrict the minimum password length to specified number of characters,Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs","overr:Disabled|Audit|Modify,overr:Disabled|Audit|Modify,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:Disabled|AuditIfNotExists|DeployIfNotExists","modify,modify,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,deployIfNotExists","3cf2ab00-13f1-4d0c-8971-2ac904541a7e,497dff13-db2a-4c0f-8603-28fa3b331ab6,5b054a0d-39e2-4d53-bea3-9734cad2c69b,4ceb8dc2-559c-478b-a15b-733fbf1e3738,237b38db-ca4d-4259-9e47-7882441ca2c0,bf16e0bb-31e1-4646-8202-60a235cc7e74,a2d0e922-65d0-40c4-8f87-ea6da2d307a2,385f5831-96d4-41db-9a3c-cd3af78aaae6"
"CCCS_RA-5","Security Center,Security Center,Security Center,Security Center,SQL,SQL","A vulnerability assessment solution should be enabled on your virtual machines,SQL databases should have vulnerability findings resolved,Vulnerabilities in security configuration on your machines should be remediated,Vulnerabilities in security configuration on your virtual machine scale sets should be remediated,Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","501541f7-f7e7-4cd6-868c-4190fdad3ac9,feedbf84-6b99-488c-acc2-71c829aa5ffc,e1e5fd5d-3e4c-4ce1-8661-7d1873ae6b15,3c735d8a-a4ba-4a3a-b7cf-db7754cf57f4,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9"
"CCCS_SC-28","Security Center,SQL,SQL,SQL","Virtual machines should encrypt temp disks, caches, and data flows between Compute and Storage resources,Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances,Transparent Data Encryption on SQL databases should be enabled","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","0961003e-5a0a-4549-abde-af6a37f2724d,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9,17k78e20-9358-41c9-923c-fb736d382a12"
"CCCS_SC-5","Security Center","Azure DDoS Protection should be enabled","overr:AuditIfNotExists|Disabled","AuditIfNotExists","a7aca53f-2ed4-4466-a25e-0b45ade68efd"
"CCCS_SC-7","Security Center,Security Center,Storage","Adaptive network hardening recommendations should be applied on internet facing virtual machines,All network ports should be restricted on network security groups associated to your virtual machine,Storage accounts should restrict network access","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,param:Disabled|Deny|Audit","AuditIfNotExists,AuditIfNotExists,Audit","08e6af2d-db70-460a-bfe9-d5bd474ba9d6,9daedab3-fb2d-461e-b861-71790eead4f6,34c877ad-507e-4c82-993e-3452a6e0ad3c"
"CCCS_SC-7(3)","Security Center","Management ports of virtual machines should be protected with just-in-time network access control","overr:AuditIfNotExists|Disabled","AuditIfNotExists","b0f33259-77d7-4c9e-aac6-3aabcfae693c"
"CCCS_SC-7(4)","Security Center","Management ports of virtual machines should be protected with just-in-time network access control","overr:AuditIfNotExists|Disabled","AuditIfNotExists","b0f33259-77d7-4c9e-aac6-3aabcfae693c"
"CCCS_SC-8(1)","App Service,App Service,Cache,Guest Configuration,Storage","App Service apps should only be accessible over HTTPS,Function apps should only be accessible over HTTPS,Only secure connections to your Azure Cache for Redis should be enabled,Windows machines should be configured to use secure communication protocols,Secure transfer to storage accounts should be enabled","overr:Audit|Disabled|Deny,overr:Audit|Disabled|Deny,param:Disabled|Deny|Audit,overr:AuditIfNotExists|Disabled,param:Disabled|Deny|Audit","Audit,Audit,Audit,AuditIfNotExists,Audit","a4af4a39-4135-47fb-b175-47fbdf85311d,6d555dd1-86f2-4f1c-8ed7-5abae7c6cbab,22bee202-a82f-4305-9a2a-6d7f44d4dedb,5752e6d6-1206-46d8-8ab1-ecc2f71a8112,404c3081-a854-4457-ae30-26a93ef643f9"
"CCCS_SI-2","Security Center,Security Center,Security Center,Security Center,Security Center","SQL databases should have vulnerability findings resolved,System updates on virtual machine scale sets should be installed,System updates should be installed on your machines,Vulnerabilities in security configuration on your machines should be remediated,Vulnerabilities in security configuration on your virtual machine scale sets should be remediated","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","feedbf84-6b99-488c-acc2-71c829aa5ffc,c3f317a7-a95c-4547-b7e7-11017ebdf2fe,86b3d65f-7626-441e-b690-81a8b71cff60,e1e5fd5d-3e4c-4ce1-8661-7d1873ae6b15,3c735d8a-a4ba-4a3a-b7cf-db7754cf57f4"
"CCCS_SI-3","Security Center,Security Center","Endpoint protection solution should be installed on virtual machine scale sets,Monitor missing Endpoint Protection in Azure Security Center","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists","26a828e1-e88f-464e-bbb3-c134a282b9de,af6cd1bd-1635-48cb-bde7-5b15693900b9"
"CCCS_SI-3(1)","Security Center,Security Center","Endpoint protection solution should be installed on virtual machine scale sets,Monitor missing Endpoint Protection in Azure Security Center","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists","26a828e1-e88f-464e-bbb3-c134a282b9de,af6cd1bd-1635-48cb-bde7-5b15693900b9"
"CCCS_SI-4","Monitoring,Monitoring,Monitoring,SQL,SQL","[Preview]: Log Analytics Extension should be enabled for listed virtual machine images,Log Analytics extension should be enabled in virtual machine scale sets for listed virtual machine images,Virtual machines should be connected to a specified workspace,Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists","32133ab0-ee4b-4b44-98d6-042180979d50,5c3bc7b8-a64c-4e08-a9cd-7ff0f31e1138,f47b5582-33ec-4c5c-87c0-b010a6b2e917,abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9"
"NIST_SP_800-53_R5_AC-1","Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance","Develop access control policies and procedures,Enforce mandatory and discretionary access control policies,Govern policies and procedures,Review access control policies and procedures","overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual,Manual,Manual","59f7feff-02aa-6539-2cf7-bea75b762140,b1666a13-8f67-9c47-155e-69e027ff6823,1a2a03a4-9992-5788-5953-d8f6615306de,03d550b4-34ee-03f4-515f-f2e2faf7a413"
"NIST_SP_800-53_R5_AC-10","Regulatory Compliance","Define and enforce the limit of concurrent sessions","overr:Manual|Disabled","Manual","d8350d4c-9314-400b-288f-20ddfce04fbd"
"NIST_SP_800-53_R5_AC-12","Regulatory Compliance","Terminate user session automatically","overr:Manual|Disabled","Manual","4502e506-5f35-0df4-684f-b326e3cc7093"
"NIST_SP_800-53_R5_AC-12(1)","Regulatory Compliance,Regulatory Compliance","Display an explicit logout message,Provide the logout capability","overr:Manual|Disabled,overr:Manual|Disabled","Manual,Manual","0471c6b7-1588-701c-2713-1fade73b75f6,db580551-0b3c-4ea1-8a4c-4cdb5feb340f"
"NIST_SP_800-53_R5_AC-14","Regulatory Compliance","Identify actions allowed without authentication","overr:Manual|Disabled","Manual","92a7591f-73b3-1173-a09c-a08882d84c70"
"NIST_SP_800-53_R5_AC-16","SQL,SQL","Azure Defender for SQL should be enabled for unprotected Azure SQL servers,Azure Defender for SQL should be enabled for unprotected SQL Managed Instances","overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled","AuditIfNotExists,AuditIfNotExists","abfb4388-5bf4-4ad7-ba82-2cd2f41ceae9,abfb7388-5bf4-4ad7-ba99-2cd2f41cebb9"
"NIST_SP_800-53_R5_AC-17","API for FHIR,App Configuration,App Platform,App Service,App Service,Cache,Cognitive Services,Compute,Container Registry,Cosmos DB,Data Factory,Event Grid,Event Grid,Event Hub,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Guest Configuration,Internet of Things,Key Vault,Machine Learning,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,Search,Search,Service Bus,SignalR,SQL,SQL,SQL,SQL,Storage,Storage,Storage,Synapse,VM Image Builder,Web PubSub","Azure API for FHIR should use private link,App Configuration should use private link,Azure Spring Cloud should use network injection,App Service apps should have remote debugging turned off,Function apps should have remote debugging turned off,Azure Cache for Redis should use private link,Cognitive Services should use private link,Disk access resources should use private link,Container registries should use private link,CosmosDB accounts should use private link,Azure Data Factory should use private link,Azure Event Grid domains should use private link,Azure Event Grid topics should use private link,Event Hub namespaces should use private link,Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,Audit Linux machines that allow remote connections from accounts without passwords,Deploy the Linux Guest Configuration extension to enable Guest Configuration assignments on Linux VMs,Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs,IoT Hub device provisioning service instances should use private link,Azure Key Vaults should use private link,Azure Machine Learning workspaces should use private link,Authorize remote access,Document mobility training,Document remote access guidelines,Implement controls to secure alternate work sites,Provide privacy training,Azure Cognitive Search service should use a SKU that supports private link,Azure Cognitive Search services should use private link,Azure Service Bus namespaces should use private link,Azure SignalR Service should use private link,Private endpoint connections on Azure SQL Database should be enabled,Private endpoint should be enabled for MariaDB servers,Private endpoint should be enabled for MySQL servers,Private endpoint should be enabled for PostgreSQL servers,Azure File Sync should use private link,Storage accounts should restrict network access,Storage accounts should use private link,Azure Synapse workspaces should use private link,VM Image Builder templates should use private link,Azure Web PubSub Service should use private link","overr:Audit|Disabled,overr:AuditIfNotExists|Disabled,param:Disabled|Deny|Audit,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:Audit|Disabled,overr:AuditIfNotExists|Disabled,overr:Audit|Disabled,overr:Audit|Disabled,overr:AuditIfNotExists|Disabled,overr:Audit|Disabled,overr:Audit|Disabled,overr:AuditIfNotExists|Disabled,overr:Disabled|Audit|Modify,overr:Disabled|Audit|Modify,overr:AuditIfNotExists|Disabled,overr:Disabled|AuditIfNotExists|DeployIfNotExists,overr:Disabled|AuditIfNotExists|DeployIfNotExists,overr:Audit|Disabled,param:Audit|Disabled,param:Audit|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,overr:Manual|Disabled,param:Disabled|Deny|Audit,overr:Audit|Disabled,overr:AuditIfNotExists|Disabled,overr:Audit|Disabled,overr:Audit|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,overr:AuditIfNotExists|Disabled,param:Disabled|Deny|Audit,overr:AuditIfNotExists|Disabled,overr:Audit|Disabled,param:Disabled|Deny|Audit,overr:Audit|Disabled","Audit,AuditIfNotExists,Audit,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,Audit,AuditIfNotExists,Audit,Audit,AuditIfNotExists,Audit,Audit,AuditIfNotExists,modify,modify,AuditIfNotExists,deployIfNotExists,deployIfNotExists,Audit,Audit,Audit,Manual,Manual,Manual,Manual,Manual,Audit,Audit,AuditIfNotExists,Audit,Audit,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,Audit,AuditIfNotExists,Audit,Audit,Audit","1ee56206-5dd1-42ab-b02d-8aae8b1634ce,ca610c1d-041c-4332-9d88-7ed3094967c7,af35e2a4-ef96-44e7-a9ae-853dd97032c4,cb510bfd-1cba-4d9f-a230-cb0976f4bb71,0e60b895-3786-45da-8377-9c6b4b6ac5f9,7803067c-7d34-46e3-8c79-0ca68fc4036d,cddd188c-4b82-4c48-a19d-ddf74ee66a01,f39f5f49-4abf-44de-8c70-0756997bfb51,e8eef0a8-67cf-4eb4-9386-14b0e78733d4,58440f8a-10c5-4151-bdce-dfbaad4a20b7,8b0323be-cc25-4b61-935d-002c3798c6ea,9830b652-8523-49cc-b1b3-e17dce1127ca,4b90e17e-8448-49db-875e-bd83fb6f804f,b8564268-eb4a-4337-89be-a19db070c59d,3cf2ab00-13f1-4d0c-8971-2ac904541a7e,497dff13-db2a-4c0f-8603-28fa3b331ab6,ea53dbee-c6c9-4f0e-9f9e-de0039b78023,331e8ea8-378a-410f-a2e5-ae22f38bb0da,385f5831-96d4-41db-9a3c-cd3af78aaae6,df39c015-56a4-45de-b4a3-efe77bed320d,a6abeaec-4d90-4a02-805f-6b26c4d3fbe9,45e05259-1eb5-4f70-9574-baf73e9d219b,dad8a2e9-6f27-4fc2-8933-7e99fe700c9c,83dfb2b8-678b-20a0-4c44-5c75ada023e6,3d492600-27ba-62cc-a1c3-66eb919f6a0d,cd36eeec-67e7-205a-4b64-dbfe3b4e3e4e,518eafdd-08e5-37a9-795b-15a8d798056d,a049bf77-880b-470f-ba6d-9f21c530cf83,0fda3595-9f2b-4592-8675-4231d6fa82fe,1c06e275-d63d-4540-b761-71f364c2111d,2393d2cf-a342-44cd-a2e2-fe0188fd1234,7698e800-9299-47a6-b3b6-5a0fee576eed,0a1302fb-a631-4106-9753-f3d494733990,7595c971-233d-4bcf-bd18-596129188c49,0564d078-92f5-4f97-8398-b9f58a51f70b,1d320205-c6a1-4ac6-873d-46224024e8e2,34c877ad-507e-4c82-993e-3452a6e0ad3c,6edd7eda-6dd8-40f7-810d-67160c639cd9,72d11df1-dd8a-41f7-8925-b05b960ebafc,2154edb9-244f-4741-9970-660785bccdaa,eb907f70-7514-460d-92b3-a5ae93b4f917"
